id,cell_lines,drug,label
0,SIDM01111,Erlotinib,0
1,SIDM01179,Erlotinib,0
2,SIDM00877,Erlotinib,0
3,SIDM00953,Erlotinib,0
4,SIDM00951,Erlotinib,0
5,SIDM00632,Erlotinib,0
6,SIDM00927,Erlotinib,0
7,SIDM00391,Erlotinib,0
8,SIDM00417,Erlotinib,0
9,SIDM01009,Erlotinib,0
10,SIDM00395,Erlotinib,0
11,SIDM00829,Erlotinib,0
12,SIDM00791,Erlotinib,0
13,SIDM00121,Erlotinib,0
14,SIDM00145,Erlotinib,0
15,SIDM00087,Erlotinib,0
16,SIDM00900,Erlotinib,0
17,SIDM00954,Erlotinib,0
18,SIDM00515,Erlotinib,0
19,SIDM00886,Erlotinib,0
20,SIDM00949,Erlotinib,0
21,SIDM00948,Erlotinib,0
22,SIDM01001,Erlotinib,0
23,SIDM01049,Erlotinib,0
24,SIDM01047,Erlotinib,0
25,SIDM01042,Erlotinib,0
26,SIDM01057,Erlotinib,0
27,SIDM00227,Erlotinib,0
28,SIDM00671,Erlotinib,0
29,SIDM00661,Erlotinib,0
30,SIDM01013,Erlotinib,0
31,SIDM01012,Erlotinib,0
32,SIDM01005,Erlotinib,0
33,SIDM00785,Erlotinib,0
34,SIDM01019,Erlotinib,0
35,SIDM00308,Erlotinib,0
36,SIDM00327,Erlotinib,0
37,SIDM00329,Erlotinib,0
38,SIDM00346,Erlotinib,0
39,SIDM00342,Erlotinib,0
40,SIDM00340,Erlotinib,0
41,SIDM00526,Erlotinib,0
42,SIDM00387,Erlotinib,0
43,SIDM00388,Erlotinib,0
44,SIDM00441,Erlotinib,0
45,SIDM00438,Erlotinib,0
46,SIDM01023,Erlotinib,0
47,SIDM00429,Erlotinib,0
48,SIDM00641,Erlotinib,0
49,SIDM00580,Erlotinib,0
50,SIDM00457,Erlotinib,0
51,SIDM00451,Erlotinib,0
52,SIDM00447,Erlotinib,0
53,SIDM00403,Erlotinib,0
54,SIDM01086,Erlotinib,0
55,SIDM00380,Erlotinib,0
56,SIDM01107,Erlotinib,0
57,SIDM00390,Erlotinib,0
58,SIDM01154,Erlotinib,0
59,SIDM01172,Erlotinib,0
60,SIDM00412,Erlotinib,0
61,SIDM01018,Erlotinib,0
62,SIDM00286,Erlotinib,0
63,SIDM01248,Erlotinib,0
64,SIDM00907,Erlotinib,0
65,SIDM00287,Erlotinib,0
66,SIDM01089,Erlotinib,0
67,SIDM00895,Erlotinib,0
68,SIDM00896,Erlotinib,0
69,SIDM00332,Erlotinib,0
70,SIDM00938,Erlotinib,0
71,SIDM01064,Erlotinib,0
72,SIDM00312,Erlotinib,0
73,SIDM00410,Erlotinib,0
74,SIDM00963,Erlotinib,0
75,SIDM00289,Erlotinib,0
76,SIDM00330,Erlotinib,0
77,SIDM00419,Erlotinib,0
78,SIDM01176,Erlotinib,0
79,SIDM00462,Erlotinib,0
80,SIDM00944,Erlotinib,0
81,SIDM00993,Erlotinib,0
82,SIDM00946,Erlotinib,0
83,SIDM01048,Erlotinib,0
84,SIDM01058,Erlotinib,0
85,SIDM01071,Erlotinib,0
86,SIDM00428,Erlotinib,0
87,SIDM01036,Erlotinib,0
88,SIDM01015,Erlotinib,0
89,SIDM01004,Erlotinib,0
90,SIDM01034,Erlotinib,0
91,SIDM00313,Erlotinib,0
92,SIDM00338,Erlotinib,0
93,SIDM00434,Erlotinib,0
94,SIDM00443,Erlotinib,0
95,SIDM00461,Erlotinib,0
96,SIDM00458,Erlotinib,0
97,SIDM00450,Erlotinib,0
98,SIDM00448,Erlotinib,0
99,SIDM00415,Erlotinib,0
100,SIDM00404,Erlotinib,0
101,SIDM00422,Erlotinib,0
102,SIDM00421,Erlotinib,0
103,SIDM00416,Erlotinib,0
104,SIDM00413,Erlotinib,0
105,SIDM00395,Rapamycin,0
106,SIDM00124,Rapamycin,0
107,SIDM00387,Rapamycin,0
108,SIDM01089,Rapamycin,0
109,SIDM00332,Rapamycin,0
110,SIDM00944,Rapamycin,0
111,SIDM01111,PHA-665752,0
112,SIDM00706,PHA-665752,0
113,SIDM01131,PHA-665752,0
114,SIDM00877,PHA-665752,0
115,SIDM00953,PHA-665752,0
116,SIDM00632,PHA-665752,0
117,SIDM00927,PHA-665752,0
118,SIDM00391,PHA-665752,0
119,SIDM00417,PHA-665752,0
120,SIDM01009,PHA-665752,0
121,SIDM00395,PHA-665752,0
122,SIDM00829,PHA-665752,0
123,SIDM00791,PHA-665752,0
124,SIDM00121,PHA-665752,0
125,SIDM00145,PHA-665752,0
126,SIDM00087,PHA-665752,0
127,SIDM00900,PHA-665752,0
128,SIDM00952,PHA-665752,0
129,SIDM00954,PHA-665752,0
130,SIDM00515,PHA-665752,0
131,SIDM00886,PHA-665752,0
132,SIDM00949,PHA-665752,0
133,SIDM00948,PHA-665752,0
134,SIDM01001,PHA-665752,0
135,SIDM01049,PHA-665752,0
136,SIDM01047,PHA-665752,0
137,SIDM01042,PHA-665752,0
138,SIDM00227,PHA-665752,0
139,SIDM01073,PHA-665752,0
140,SIDM00594,PHA-665752,0
141,SIDM00671,PHA-665752,0
142,SIDM00661,PHA-665752,0
143,SIDM01013,PHA-665752,0
144,SIDM01012,PHA-665752,0
145,SIDM01005,PHA-665752,0
146,SIDM00785,PHA-665752,0
147,SIDM01019,PHA-665752,0
148,SIDM01020,PHA-665752,0
149,SIDM00308,PHA-665752,0
150,SIDM00327,PHA-665752,0
151,SIDM00329,PHA-665752,0
152,SIDM00346,PHA-665752,0
153,SIDM00342,PHA-665752,0
154,SIDM00340,PHA-665752,0
155,SIDM00526,PHA-665752,0
156,SIDM00387,PHA-665752,0
157,SIDM00388,PHA-665752,0
158,SIDM00441,PHA-665752,0
159,SIDM00438,PHA-665752,0
160,SIDM00431,PHA-665752,0
161,SIDM01023,PHA-665752,0
162,SIDM00580,PHA-665752,0
163,SIDM00457,PHA-665752,0
164,SIDM00451,PHA-665752,0
165,SIDM00447,PHA-665752,0
166,SIDM00403,PHA-665752,0
167,SIDM00396,PHA-665752,0
168,SIDM00380,PHA-665752,0
169,SIDM01107,PHA-665752,0
170,SIDM00390,PHA-665752,0
171,SIDM01172,PHA-665752,0
172,SIDM00424,PHA-665752,0
173,SIDM00412,PHA-665752,0
174,SIDM01018,PHA-665752,0
175,SIDM00286,PHA-665752,0
176,SIDM01248,PHA-665752,0
177,SIDM00907,PHA-665752,0
178,SIDM00287,PHA-665752,0
179,SIDM00962,PHA-665752,0
180,SIDM01089,PHA-665752,0
181,SIDM00895,PHA-665752,0
182,SIDM00332,PHA-665752,0
183,SIDM00938,PHA-665752,0
184,SIDM01064,PHA-665752,0
185,SIDM00312,PHA-665752,0
186,SIDM00410,PHA-665752,0
