id,cell_lines,drug,label
0,SIDM00227,(5Z)-7-Oxozeaenol,1
1,SIDM00124,(5Z)-7-Oxozeaenol,1
2,SIDM00308,(5Z)-7-Oxozeaenol,1
3,SIDM00479,(5Z)-7-Oxozeaenol,1
4,SIDM00148,(5Z)-7-Oxozeaenol,1
5,SIDM00829,(5Z)-7-Oxozeaenol,1
6,SIDM00944,(5Z)-7-Oxozeaenol,1
7,SIDM01033,(5Z)-7-Oxozeaenol,1
8,SIDM00933,(5Z)-7-Oxozeaenol,1
9,SIDM00441,(5Z)-7-Oxozeaenol,1
10,SIDM00903,(5Z)-7-Oxozeaenol,1
11,SIDM00810,(5Z)-7-Oxozeaenol,1
12,SIDM00407,(5Z)-7-Oxozeaenol,1
13,SIDM00405,(5Z)-7-Oxozeaenol,1
14,SIDM00338,(5Z)-7-Oxozeaenol,1
15,SIDM00985,(5Z)-7-Oxozeaenol,1
16,SIDM00380,(5Z)-7-Oxozeaenol,1
17,SIDM00832,(5Z)-7-Oxozeaenol,1
18,SIDM01068,(5Z)-7-Oxozeaenol,1
19,SIDM00388,(5Z)-7-Oxozeaenol,1
20,SIDM01082,(5Z)-7-Oxozeaenol,1
21,SIDM00415,(5Z)-7-Oxozeaenol,1
22,SIDM00462,(5Z)-7-Oxozeaenol,1
23,SIDM00284,(5Z)-7-Oxozeaenol,1
24,SIDM00448,(5Z)-7-Oxozeaenol,1
25,SIDM01009,(5Z)-7-Oxozeaenol,1
26,SIDM00982,(5Z)-7-Oxozeaenol,1
27,SIDM00867,(5Z)-7-Oxozeaenol,1
28,SIDM00886,(5Z)-7-Oxozeaenol,1
29,SIDM00907,(5Z)-7-Oxozeaenol,1
30,SIDM01089,(5Z)-7-Oxozeaenol,1
31,SIDM00932,(5Z)-7-Oxozeaenol,1
32,SIDM00121,(5Z)-7-Oxozeaenol,1
33,SIDM00994,(5Z)-7-Oxozeaenol,1
34,SIDM00330,(5Z)-7-Oxozeaenol,1
35,SIDM01131,(5Z)-7-Oxozeaenol,1
36,SIDM00412,(5Z)-7-Oxozeaenol,1
37,SIDM00953,(5Z)-7-Oxozeaenol,1
38,SIDM00404,(5Z)-7-Oxozeaenol,1
39,SIDM00437,(5Z)-7-Oxozeaenol,1
40,SIDM00948,(5Z)-7-Oxozeaenol,1
41,SIDM00097,(5Z)-7-Oxozeaenol,1
42,SIDM00345,(5Z)-7-Oxozeaenol,1
43,SIDM00987,(5Z)-7-Oxozeaenol,1
44,SIDM01049,(5Z)-7-Oxozeaenol,1
45,SIDM01056,(5Z)-7-Oxozeaenol,1
46,SIDM00791,(5Z)-7-Oxozeaenol,1
47,SIDM00952,(5Z)-7-Oxozeaenol,1
48,SIDM00422,(5Z)-7-Oxozeaenol,1
49,SIDM01086,(5Z)-7-Oxozeaenol,1
50,SIDM00980,(5Z)-7-Oxozeaenol,1
51,SIDM01001,(5Z)-7-Oxozeaenol,1
52,SIDM00961,(5Z)-7-Oxozeaenol,1
53,SIDM00394,(5Z)-7-Oxozeaenol,1
54,SIDM01072,(5Z)-7-Oxozeaenol,1
55,SIDM00512,(5Z)-7-Oxozeaenol,1
56,SIDM00866,(5Z)-7-Oxozeaenol,1
57,SIDM01040,(5Z)-7-Oxozeaenol,1
58,SIDM01148,(5Z)-7-Oxozeaenol,1
59,SIDM01110,(5Z)-7-Oxozeaenol,1
60,SIDM00515,(5Z)-7-Oxozeaenol,1
61,SIDM00997,(5Z)-7-Oxozeaenol,1
62,SIDM00929,5-Fluorouracil,1
63,SIDM01027,5-Fluorouracil,1
64,SIDM00339,5-Fluorouracil,1
65,SIDM00829,5-Fluorouracil,1
66,SIDM00661,5-Fluorouracil,1
67,SIDM00867,5-Fluorouracil,1
68,SIDM01218,5-Fluorouracil,1
69,SIDM00335,5-Fluorouracil,1
70,SIDM00463,5-Fluorouracil,1
71,SIDM00285,5-Fluorouracil,1
72,SIDM00461,5-Fluorouracil,1
73,SIDM00344,5-Fluorouracil,1
74,SIDM00386,5-Fluorouracil,1
75,SIDM00996,5-Fluorouracil,1
76,SIDM00988,5-Fluorouracil,1
77,SIDM01009,5-Fluorouracil,1
78,SIDM00479,5-Fluorouracil,1
79,SIDM00937,5-Fluorouracil,1
80,SIDM00594,5-Fluorouracil,1
81,SIDM01082,5-Fluorouracil,1
82,SIDM01172,5-Fluorouracil,1
83,SIDM00313,5-Fluorouracil,1
84,SIDM00341,5-Fluorouracil,1
85,SIDM01047,5-Fluorouracil,1
86,SIDM00387,5-Fluorouracil,1
87,SIDM00447,5-Fluorouracil,1
88,SIDM00396,5-Fluorouracil,1
89,SIDM01015,5-Fluorouracil,1
90,SIDM01060,5-Fluorouracil,1
91,SIDM01024,5-Fluorouracil,1
92,SIDM00124,5-Fluorouracil,1
93,SIDM00628,5-Fluorouracil,1
94,SIDM00458,5-Fluorouracil,1
95,SIDM01052,5-Fluorouracil,1
96,SIDM01057,5-Fluorouracil,1
97,SIDM00938,5-Fluorouracil,1
